DateTime,Comment
2016-10-28T07:43:17Z,"I never know if the &#39;thumbs up or thumbs down&#39; is for the REVIEW or the CAR...so thumbs up for review, thumbs down for car!"
2016-10-28T05:23:17Z,"Starts from £35,000 and it has manual seats and cheap plastic?? Ha, I think I&#39;ll stick to my 3 series and my X5 thanks"
2016-10-28T04:12:28Z,"The V6 is a way better option than the 4 and desppite what Ford says, gas mileage should be around the same"
2016-10-28T04:07:52Z,Seeing a brit driving a mustang is like seeing a fellow yank drink a cup of tea. <br>It just seems odd
2016-10-28T03:25:51Z,Can we get more videos pf your personal 911?
2016-10-28T01:55:14Z,"Mat, the way you enter the back seat is hilarious. Just like how a raptor trying to get into it."
2016-10-28T01:30:43Z,Wow it can talk to dolphins
2016-10-27T22:45:11Z,that head rest but made me LOL so much. instant like
2016-10-27T21:35:29Z,ive sat in the back of a supra. feel my pain pls
2016-10-27T21:34:10Z,That looks like a real crowd pleaser
2016-10-27T21:30:18Z,TKMaxx car
2016-10-27T21:27:17Z,Eco boost ?
2016-10-27T21:17:11Z,All the boost bars haha
2016-10-27T21:10:36Z,looks cheap
2016-10-27T21:09:15Z,I don&#39;t know why I felt like grabbing a boost bar.
2016-10-27T20:14:13Z,"Looks a bit more practicable than the previous generation, in particular the boot opening.<br><br>Same shockingly poor build quality by the looks of things. I remember taking the previous gen down the Pacific Coast Highway, it was a brand new V6, but the wipers and air con both packed in after 1,000 miles."
2016-10-27T20:08:38Z,"It&#39;s so American, it&#39;s surprising a Big Mac holder isn&#39;t on the options list"
2016-10-27T19:18:08Z,Any mazdas coming soon?
2016-10-27T18:31:21Z,nice enough bloke Matt but the reviews are kind of irritating..
2016-10-27T17:54:55Z,look at that product placement boost bars
2016-10-27T16:39:36Z,the whole point of a mustang is that you&#39;re buying into the whole v8 American muscle car thing. so a 4cl makes zero sense
2016-10-27T16:31:37Z,"would only get the coupe model, however if your not loaded the ecoboost would still be a good option if you don&#39;t want to pay £500 tax and funny enough the Americans are all for the ecoboost over the v8? (according to sales.)"
2016-10-27T16:31:12Z,"I happen to own an EcoBoost convertible and I must disagree with all the criticism. It&#39;s very easy to dismiss the car simply because it doesn&#39;t have the V8, but a V8 for daily use and commuting really doesn&#39;t make much sense since I&#39;m on a budget. The only issue with the EcoBoost is the sound which I&#39;m happy to give up for the improved fuel economy."
2016-10-27T16:13:42Z,The exposed wires going into the rearview mirror is an example of its poor quality.
2016-10-27T16:11:43Z,Nice Easter egg Mat 👍🏻
2016-10-27T15:48:50Z,"@ <a href=""http://www.youtube.com/watch?v=y1_6s-8Pagc&amp;t=6m11s"">6:11</a> I guess it was bring your kids to work day eh?"
2016-10-27T15:47:37Z,I&#39;d have to get the non-convertible V8. You don&#39;t buy a Mustang for economy.
2016-10-27T15:36:09Z,Boost bar for EcoBoost? ;) car wow Easter eggs!
2016-10-27T15:20:36Z,"In the early 90s Ford done a mustang that has rear independent suspension,  but the &#39;purists&#39;  over in America hated it as it was slower on the drag strip. They was that vocal Ford went back to the old live axel for a 20+years"
2016-10-27T15:12:17Z,Lol Matt looked like a &quot;special@ T. rex getting in to the back seats 😂
2016-10-27T14:50:43Z,"It&#39;s a ford,  what did you expect?"
2016-10-27T14:46:38Z,please make a video on audi rs5
2016-10-27T14:43:18Z,Boooooost
2016-10-27T14:32:01Z,Matt: said nothing about it sloppy steering feel when turning around corners
2016-10-27T14:28:10Z,I hope Matt didn&#39;t run anyone over with that Mustang...
2016-10-27T14:17:14Z,Salty price for what you get in this...
2016-10-27T14:08:10Z,"Very cheap and poor quality, great looks, overall meh... reviews are becoming more entertaining keep up this work carwow, it&#39;s great seeing that lame &quot;now what do i think of the .......&quot; outro replaced with the &quot;consider it buy it thing&quot;"
2016-10-27T13:39:00Z,FYI That is not a 2017 Mustang.
2016-10-27T13:16:11Z,"Great with the new 4 point system - avoid, consider, shortlist and buy!"
2016-10-27T13:06:48Z,this looks like a cabin from 2004 citroen c3 wtf are you talking about matt? <br>looks like shit
2016-10-27T12:35:39Z,When will America sort their shit out with interior material quality?
2016-10-27T12:21:50Z,"Great little review as always, cracked up at the headrest dolphin part 😃"
2016-10-27T12:20:59Z,in terms of style it wins over a TT in spades!! my daughter has one in Texas (or had one) and it was impossible for a decent child seat...
2016-10-27T12:22:52Z,Hey Matt! I love your reviews! Really awesome jokes btw! :D<br>Could you do one about the Mazda CX 5? I&#39;d like to watch it from you with this new cool features on carwow...<br>Keep going like this and i&#39;ll never unsubscribe this channel!<br>Cheers!
2016-10-27T12:11:52Z,can u make all car cameras to record when u add storage and little software?<br> has any1 done it?
2016-10-27T12:07:43Z,Best reviews on YouTube! you&#39;re funny haha
2016-10-27T12:07:00Z,"I hate convertibles that have more than 2 seats, it&#39;s just something about those rear seats that disgust me"
2016-10-27T11:58:09Z,Matt u going bareback?
2016-10-27T11:52:41Z,"Before Mat says what engine he&#39;s reviewing, I&#39;m guessing a 2.3l EcoBoost.<br><br>My guess comes from the boost bars :D"
2016-10-27T11:49:25Z,Finally an honest review of this car!
2016-10-27T11:26:31Z,Rather hav an M4 or C63
2016-10-27T11:23:56Z,I think you need to make one longer video with all the space and practicality sections included. It makes it easier than going backwards and forwards through videos.<br><br>Just my opinion.
2016-10-27T11:22:35Z,This car interior quality is really bad... This car is not a good one.
2016-10-27T11:18:19Z,can&#39;t afford one but his reviews feel like I m driving one.
2016-10-27T11:08:21Z,EU?! Why do we get the Mustang with no LED running lights in the front and with larger side mirrors?!
2016-10-27T11:07:04Z,REALLY UGLY
2016-10-27T11:05:45Z,Love the comment &quot;OK Ford I will raise the Windows then&quot; brilliant
2016-10-27T11:01:55Z,Convertible Ecoboost Mustang? That&#39;s heresy.
2016-10-27T11:00:34Z,"Hey Mat, great work. lol on the dolphin joke.<br>Question though, when are you doing the American muscle comparison now that Chevy Camaro is in UK?"
2016-10-27T10:56:15Z,matt why is it an auto manual only
2016-10-27T10:53:28Z,How&#39;s your Porsche going? Fixed the roof? All good?
2016-10-27T10:53:26Z,ecoBoost bar.
2016-10-27T10:53:17Z,Internet fixed!
2016-10-27T10:52:57Z,"You&#39;ve done the new BMW 7 Series review, new Mercedes S Class review and the new Audi A8 review. Any chance of doing the new Jaguar XJ?"
2016-10-27T10:48:26Z,Yo matt. I like the boost choc Easter egg! Haha
2016-10-27T10:47:19Z,gay
2016-10-27T10:41:35Z,I don&#39;t understand the mpg. The higher is better ?
2016-10-27T10:40:57Z,good video
2016-10-27T10:37:48Z,321st
2016-10-27T10:33:28Z,Nice review.
2016-10-27T10:32:07Z,I now want a boost bar for some odd reason...
2016-10-27T10:29:18Z,Will Matt respond?<br>Great video as always
2016-10-27T10:29:00Z,How many more convertable reviews?
2016-10-27T10:28:56Z,Oh yes!
2016-10-27T10:25:32Z,"<a href=""http://www.youtube.com/watch?v=y1_6s-8Pagc&amp;t=6m42s"">6:42</a> Some say Mat resides in that forest in between car reviews. Carwow just park a new car in front of the treeline as bait and he emerges."
2016-10-27T10:19:29Z,last yaay
2016-10-27T10:19:21Z,Second
2016-10-27T10:17:36Z,First yaaay
